GeneID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000253741.2,48.9308521,-1.672157282,0.446028685,-3.748990458,0.000177548,0.001486543
ENSG00000254473.1,62.64263878,-1.679016124,0.38719544,-4.336353035,1.45E-05,0.000174668
ENSG00000254996.5,58.1104636,-1.027552403,0.386486916,-2.658699068,0.007844299,0.032953006
ENSG00000258744.2,21.21501248,-1.708741866,0.647954052,-2.637134316,0.008360972,0.034760597
ENSG00000259065.2,22.46790742,-1.635340285,0.637775179,-2.564132847,0.010343395,0.041098126
ENSG00000260196.1,100.2810593,-1.702555271,0.334896609,-5.083823559,3.70E-07,7.16E-06
ENSG00000260804.3,147.9196453,-1.195645439,0.255275907,-4.683737891,2.82E-06,4.19E-05
ENSG00000260855.1,36.18779996,-1.660414561,0.5063873,-3.278941952,0.001041971,0.006474651
ENSG00000262655.4,71.12667524,-1.07587268,0.379113806,-2.837862045,0.004541681,0.021363436
ENSG00000263327.6,51.66050477,-1.403885112,0.419799769,-3.344177907,0.000825268,0.005365994
ENSG00000267106.8,65.34706414,-1.169275855,0.368365634,-3.17422622,0.001502365,0.008764007
ENSG00000272556.2,127.4781232,-1.128721214,0.274241375,-4.115794762,3.86E-05,0.000410222
ENSG00000273355.1,26.44946247,-1.704990137,0.601263645,-2.835678078,0.004572851,0.021479623
ENSG00000274922.1,43.14454123,-1.698156088,0.493628722,-3.44014846,0.000581395,0.003993971
ENSG00000276570.1,100.2931354,-1.122826872,0.30563265,-3.673779202,0.000238989,0.001914076
ENSG00000276805.2,137.2441694,-1.701137345,0.272024564,-6.253616657,4.01E-10,1.46E-08
ENSG00000277449.1,40.41298618,-1.387785321,0.464268417,-2.98918744,0.002797205,0.01442327
ENSG00000278611.2,24.21790742,-1.776791176,0.617121811,-2.879157964,0.003987386,0.019233016
ENSG00000279348.1,66.15587281,-1.749364462,0.38671427,-4.523661513,6.08E-06,8.20E-05
ENSG00000280537.2,18.22692309,-2.839297865,0.791815469,-3.585807522,0.000336037,0.002513794
ENSG00000281912.1,20.71906541,-2.189814176,0.677411094,-3.232622252,0.001226596,0.00745104
ENSG00000284693.1,28.68631119,-1.578648768,0.573820205,-2.751120916,0.005939172,0.026447438
ENSG00000286545.1,77.35442554,-1.164350052,0.350703156,-3.320044406,0.000900031,0.005756992
ENSG00000286974.1,22.96956169,-1.76508497,0.641558736,-2.75124454,0.005936931,0.026446327
ENSG00000287260.1,46.17357337,-1.776179774,0.445534371,-3.986627948,6.70E-05,0.000659606
